YEAR,Annual CPI,Inflation
1950,24.1,10.73858921
1951,26,9.953846154
1952,26.5,9.766037736
1953,26.7,9.692883895
1954,26.9,9.620817844
1955,26.8,9.656716418
1956,27.2,9.514705882
1957,28.1,9.209964413
1958,28.9,8.955017301
1959,29.1,8.89347079
1960,29.6,8.743243243
1961,29.9,8.655518395
1962,30.2,8.569536424
1963,30.6,8.45751634
1964,31,8.348387097
1965,31.5,8.215873016
1966,32.4,7.987654321
1967,33.4,7.748502994
1968,34.8,7.436781609
1969,36.7,7.051771117
1970,38.8,6.670103093
1971,40.5,6.390123457
1972,41.8,6.19138756
1973,44.4,5.828828829
1974,49.3,5.249492901
1975,53.8,4.810408922
1976,56.9,4.548330404
1977,60.6,4.270627063
1978,65.2,3.969325153
1979,72.6,3.564738292
1980,82.4,3.140776699
1981,90.9,2.847084708
1982,96.5,2.681865285
1983,99.6,2.598393574
1984,103.9,2.490856593
1985,107.6,2.405204461
1986,109.6,2.361313869
1987,113.6,2.278169014
1988,118.3,2.187658495
1989,124,2.087096774
1990,130.7,1.980107116
1991,136.2,1.900146843
1992,140.3,1.844618674
1993,144.5,1.79100346
1994,148.2,1.746288799
1995,152.4,1.69816273
1996,156.9,1.649458254
1997,160.5,1.612461059
1998,163,1.587730061
1999,166.6,1.553421369
2000,172.2,1.5029036
2001,177.1,1.461321287
2002,179.9,1.438576987
2003,184,1.406521739
2004,188.9,1.370037057
2005,195.3,1.325140809
2006,201.6,1.283730159
2007,207.342,1.248179337
2008,215.303,1.202026911
2009,214.537,1.206318724
2010,218.056,1.186851084
2011,224.939,1.150534145
2012,229.594,1.127207157
2013,232.957,1.110934636
2014,236.736,1.093200865
2015,237.017,1.0919048
2016,240.007,1.078301883
2017,245.1,1.055895553
2018,251.1,1.030665074
2019,255.7,1.012123582
2020,258.8,1