make,fuel-type,body-style,curb-weight,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
alfa-romero,gas,convertible,2548,four,130,111.0,21,27,13495.0
alfa-romero,gas,convertible,2548,four,130,111.0,21,27,16500.0
alfa-romero,gas,hatchback,2823,six,152,154.0,19,26,16500.0
audi,gas,sedan,2337,four,109,102.0,24,30,13950.0
audi,gas,sedan,2824,five,136,115.0,18,22,17450.0
audi,gas,sedan,2507,five,136,110.0,19,25,15250.0
audi,gas,sedan,2844,five,136,110.0,19,25,17710.0
audi,gas,wagon,2954,five,136,110.0,19,25,18920.0
audi,gas,sedan,3086,five,131,140.0,17,20,23875.0
bmw,gas,sedan,2395,four,108,101.0,23,29,16430.0
bmw,gas,sedan,2395,four,108,101.0,23,29,16925.0
bmw,gas,sedan,2710,six,164,121.0,21,28,20970.0
bmw,gas,sedan,2765,six,164,121.0,21,28,21105.0
bmw,gas,sedan,3055,six,164,121.0,20,25,24565.0
bmw,gas,sedan,3230,six,209,182.0,16,22,30760.0
bmw,gas,sedan,3380,six,209,182.0,16,22,41315.0
bmw,gas,sedan,3505,six,209,182.0,15,20,36880.0
chevrolet,gas,hatchback,1488,three,61,48.0,47,53,5151.0
chevrolet,gas,hatchback,1874,four,90,70.0,38,43,6295.0
chevrolet,gas,sedan,1909,four,90,70.0,38,43,6575.0
dodge,gas,hatchback,1876,four,90,68.0,37,41,5572.0
dodge,gas,hatchback,1876,four,90,68.0,31,38,6377.0
dodge,gas,hatchback,2128,four,98,102.0,24,30,7957.0
dodge,gas,hatchback,1967,four,90,68.0,31,38,6229.0
dodge,gas,sedan,1989,four,90,68.0,31,38,6692.0
dodge,gas,sedan,1989,four,90,68.0,31,38,7609.0
dodge,gas,sedan,2191,four,98,102.0,24,30,8558.0
dodge,gas,wagon,2535,four,122,88.0,24,30,8921.0
dodge,gas,hatchback,2811,four,156,145.0,19,24,12964.0
honda,gas,hatchback,1713,four,92,58.0,49,54,6479.0
honda,gas,hatchback,1819,four,92,76.0,31,38,6855.0
honda,gas,hatchback,1837,four,79,60.0,38,42,5399.0
honda,gas,hatchback,1940,four,92,76.0,30,34,6529.0
honda,gas,hatchback,1956,four,92,76.0,30,34,7129.0
honda,gas,sedan,2010,four,92,76.0,30,34,7295.0
honda,gas,wagon,2024,four,92,76.0,30,34,7295.0
honda,gas,hatchback,2236,four,110,86.0,27,33,7895.0
honda,gas,hatchback,2289,four,110,86.0,27,33,9095.0
honda,gas,sedan,2304,four,110,86.0,27,33,8845.0
honda,gas,sedan,2372,four,110,86.0,27,33,10295.0
honda,gas,sedan,2465,four,110,101.0,24,28,12945.0
honda,gas,sedan,2293,four,110,100.0,25,31,10345.0
isuzu,gas,sedan,2337,four,111,78.0,24,29,6785.0
isuzu,gas,hatchback,2734,four,119,90.0,24,29,11048.0
jaguar,gas,sedan,4066,six,258,176.0,15,19,32250.0
jaguar,gas,sedan,4066,six,258,176.0,15,19,35550.0
jaguar,gas,sedan,3950,twelve,326,262.0,13,17,36000.0
mazda,gas,hatchback,1890,four,91,68.0,30,31,5195.0
mazda,gas,hatchback,1900,four,91,68.0,31,38,6095.0
mazda,gas,hatchback,1905,four,91,68.0,31,38,6795.0
mazda,gas,sedan,1945,four,91,68.0,31,38,6695.0
mazda,gas,sedan,1950,four,91,68.0,31,38,7395.0
mazda,gas,hatchback,2380,two,70,101.0,17,23,10945.0
mazda,gas,hatchback,2380,two,70,101.0,17,23,11845.0
mazda,gas,hatchback,2385,two,70,101.0,17,23,13645.0
mazda,gas,hatchback,2500,two,80,135.0,16,23,15645.0
mazda,gas,hatchback,2385,four,122,84.0,26,32,8845.0
mazda,gas,sedan,2410,four,122,84.0,26,32,8495.0
mazda,gas,hatchback,2385,four,122,84.0,26,32,10595.0
mazda,gas,sedan,2410,four,122,84.0,26,32,10245.0
mazda,diesel,sedan,2443,four,122,64.0,36,42,10795.0
mazda,gas,hatchback,2425,four,122,84.0,26,32,11245.0
mazda,gas,sedan,2670,four,140,120.0,19,27,18280.0
mazda,diesel,sedan,2700,four,134,72.0,31,39,18344.0
mercedes-benz,diesel,sedan,3515,five,183,123.0,22,25,25552.0
mercedes-benz,diesel,wagon,3750,five,183,123.0,22,25,28248.0
mercedes-benz,diesel,hardtop,3495,five,183,123.0,22,25,28176.0
mercedes-benz,diesel,sedan,3770,five,183,123.0,22,25,31600.0
mercedes-benz,gas,sedan,3740,eight,234,155.0,16,18,34184.0
mercedes-benz,gas,convertible,3685,eight,234,155.0,16,18,35056.0
mercedes-benz,gas,sedan,3900,eight,308,184.0,14,16,40960.0
mercedes-benz,gas,hardtop,3715,eight,304,184.0,14,16,45400.0
mercury,gas,hatchback,2910,four,140,175.0,19,24,16503.0
mitsubishi,gas,hatchback,1918,four,92,68.0,37,41,5389.0
mitsubishi,gas,hatchback,1944,four,92,68.0,31,38,6189.0
mitsubishi,gas,hatchback,2004,four,92,68.0,31,38,6669.0
mitsubishi,gas,hatchback,2145,four,98,102.0,24,30,7689.0
mitsubishi,gas,hatchback,2370,four,110,116.0,23,30,9959.0
mitsubishi,gas,hatchback,2328,four,122,88.0,25,32,8499.0
mitsubishi,gas,hatchback,2833,four,156,145.0,19,24,12629.0
mitsubishi,gas,hatchback,2921,four,156,145.0,19,24,14869.0
mitsubishi,gas,hatchback,2926,four,156,145.0,19,24,14489.0
mitsubishi,gas,sedan,2365,four,122,88.0,25,32,6989.0
mitsubishi,gas,sedan,2405,four,122,88.0,25,32,8189.0
mitsubishi,gas,sedan,2403,four,110,116.0,23,30,9279.0
mitsubishi,gas,sedan,2403,four,110,116.0,23,30,9279.0
nissan,gas,sedan,1889,four,97,69.0,31,37,5499.0
nissan,diesel,sedan,2017,four,103,55.0,45,50,7099.0
nissan,gas,sedan,1918,four,97,69.0,31,37,6649.0
nissan,gas,sedan,1938,four,97,69.0,31,37,6849.0
nissan,gas,wagon,2024,four,97,69.0,31,37,7349.0
nissan,gas,sedan,1951,four,97,69.0,31,37,7299.0
nissan,gas,hatchback,2028,four,97,69.0,31,37,7799.0
nissan,gas,sedan,1971,four,97,69.0,31,37,7499.0
nissan,gas,wagon,2037,four,97,69.0,31,37,7999.0
nissan,gas,hardtop,2008,four,97,69.0,31,37,8249.0
nissan,gas,hatchback,2324,four,120,97.0,27,34,8949.0
nissan,gas,sedan,2302,four,120,97.0,27,34,9549.0
nissan,gas,sedan,3095,six,181,152.0,17,22,13499.0
nissan,gas,wagon,3296,six,181,152.0,17,22,14399.0
nissan,gas,sedan,3060,six,181,152.0,19,25,13499.0
nissan,gas,hatchback,3071,six,181,160.0,19,25,17199.0
nissan,gas,hatchback,3139,six,181,200.0,17,23,19699.0
nissan,gas,hatchback,3139,six,181,160.0,19,25,18399.0
peugot,gas,sedan,3020,four,120,97.0,19,24,11900.0
peugot,diesel,sedan,3197,four,152,95.0,28,33,13200.0
peugot,gas,wagon,3230,four,120,97.0,19,24,12440.0
peugot,diesel,wagon,3430,four,152,95.0,25,25,13860.0
peugot,gas,sedan,3075,four,120,95.0,19,24,15580.0
peugot,diesel,sedan,3252,four,152,95.0,28,33,16900.0
peugot,gas,wagon,3285,four,120,95.0,19,24,16695.0
peugot,diesel,wagon,3485,four,152,95.0,25,25,17075.0
peugot,gas,sedan,3075,four,120,97.0,19,24,16630.0
peugot,diesel,sedan,3252,four,152,95.0,28,33,17950.0
peugot,gas,sedan,3130,four,134,142.0,18,24,18150.0
plymouth,gas,hatchback,1918,four,90,68.0,37,41,5572.0
plymouth,gas,hatchback,2128,four,98,102.0,24,30,7957.0
plymouth,gas,hatchback,1967,four,90,68.0,31,38,6229.0
plymouth,gas,sedan,1989,four,90,68.0,31,38,6692.0
plymouth,gas,sedan,2191,four,98,68.0,31,38,7609.0
plymouth,gas,wagon,2535,four,122,88.0,24,30,8921.0
plymouth,gas,hatchback,2818,four,156,145.0,19,24,12764.0
porsche,gas,hatchback,2778,four,151,143.0,19,27,22018.0
porsche,gas,hardtop,2756,six,194,207.0,17,25,32528.0
porsche,gas,hardtop,2756,six,194,207.0,17,25,34028.0
porsche,gas,convertible,2800,six,194,207.0,17,25,37028.0
saab,gas,hatchback,2658,four,121,110.0,21,28,11850.0
saab,gas,sedan,2695,four,121,110.0,21,28,12170.0
saab,gas,hatchback,2707,four,121,110.0,21,28,15040.0
saab,gas,sedan,2758,four,121,110.0,21,28,15510.0
saab,gas,hatchback,2808,four,121,160.0,19,26,18150.0
saab,gas,sedan,2847,four,121,160.0,19,26,18620.0
subaru,gas,hatchback,2050,four,97,69.0,31,36,5118.0
subaru,gas,hatchback,2120,four,108,73.0,26,31,7053.0
subaru,gas,hatchback,2240,four,108,73.0,26,31,7603.0
subaru,gas,sedan,2145,four,108,82.0,32,37,7126.0
subaru,gas,sedan,2190,four,108,82.0,28,33,7775.0
subaru,gas,sedan,2340,four,108,94.0,26,32,9960.0
subaru,gas,sedan,2385,four,108,82.0,24,25,9233.0
subaru,gas,sedan,2510,four,108,111.0,24,29,11259.0
subaru,gas,wagon,2290,four,108,82.0,28,32,7463.0
subaru,gas,wagon,2455,four,108,94.0,25,31,10198.0
subaru,gas,wagon,2420,four,108,82.0,23,29,8013.0
subaru,gas,wagon,2650,four,108,111.0,23,23,11694.0
toyota,gas,hatchback,1985,four,92,62.0,35,39,5348.0
toyota,gas,hatchback,2040,four,92,62.0,31,38,6338.0
toyota,gas,hatchback,2015,four,92,62.0,31,38,6488.0
toyota,gas,wagon,2280,four,92,62.0,31,37,6918.0
toyota,gas,wagon,2290,four,92,62.0,27,32,7898.0
toyota,gas,wagon,3110,four,92,62.0,27,32,8778.0
toyota,gas,sedan,2081,four,98,70.0,30,37,6938.0
toyota,gas,hatchback,2109,four,98,70.0,30,37,7198.0
toyota,diesel,sedan,2275,four,110,56.0,34,36,7898.0
toyota,diesel,hatchback,2275,four,110,56.0,38,47,7788.0
toyota,gas,sedan,2094,four,98,70.0,38,47,7738.0
toyota,gas,hatchback,2122,four,98,70.0,28,34,8358.0
toyota,gas,sedan,2140,four,98,70.0,28,34,9258.0
toyota,gas,sedan,2169,four,98,70.0,29,34,8058.0
toyota,gas,hatchback,2204,four,98,70.0,29,34,8238.0
toyota,gas,sedan,2265,four,98,112.0,26,29,9298.0
toyota,gas,hatchback,2300,four,98,112.0,26,29,9538.0
toyota,gas,hardtop,2540,four,146,116.0,24,30,8449.0
toyota,gas,hardtop,2536,four,146,116.0,24,30,9639.0
toyota,gas,hatchback,2551,four,146,116.0,24,30,9989.0
toyota,gas,hardtop,2679,four,146,116.0,24,30,11199.0
toyota,gas,hatchback,2714,four,146,116.0,24,30,11549.0
toyota,gas,convertible,2975,four,146,116.0,24,30,17669.0
toyota,gas,sedan,2326,four,122,92.0,29,34,8948.0
toyota,diesel,sedan,2480,four,110,73.0,30,33,10698.0
toyota,gas,hatchback,2414,four,122,92.0,27,32,9988.0
toyota,gas,sedan,2414,four,122,92.0,27,32,10898.0
toyota,gas,hatchback,2458,four,122,92.0,27,32,11248.0
toyota,gas,hatchback,2976,six,171,161.0,20,24,16558.0
toyota,gas,hatchback,3016,six,171,161.0,19,24,15998.0
toyota,gas,sedan,3131,six,171,156.0,20,24,15690.0
toyota,gas,wagon,3151,six,161,156.0,19,24,15750.0
volkswagen,diesel,sedan,2261,four,97,52.0,37,46,7775.0
volkswagen,gas,sedan,2209,four,109,85.0,27,34,7975.0
volkswagen,diesel,sedan,2264,four,97,52.0,37,46,7995.0
volkswagen,gas,sedan,2212,four,109,85.0,27,34,8195.0
volkswagen,gas,sedan,2275,four,109,85.0,27,34,8495.0
volkswagen,diesel,sedan,2319,four,97,68.0,37,42,9495.0
volkswagen,gas,sedan,2300,four,109,100.0,26,32,9995.0
volkswagen,gas,convertible,2254,four,109,90.0,24,29,11595.0
volkswagen,gas,hatchback,2221,four,109,90.0,24,29,9980.0
volkswagen,gas,sedan,2661,five,136,110.0,19,24,13295.0
volkswagen,diesel,sedan,2579,four,97,68.0,33,38,13845.0
volkswagen,gas,wagon,2563,four,109,88.0,25,31,12290.0
volvo,gas,sedan,2912,four,141,114.0,23,28,12940.0
volvo,gas,wagon,3034,four,141,114.0,23,28,13415.0
volvo,gas,sedan,2935,four,141,114.0,24,28,15985.0
volvo,gas,wagon,3042,four,141,114.0,24,28,16515.0
volvo,gas,sedan,3045,four,130,162.0,17,22,18420.0
volvo,gas,wagon,3157,four,130,162.0,17,22,18950.0
volvo,gas,sedan,2952,four,141,114.0,23,28,16845.0
volvo,gas,sedan,3049,four,141,160.0,19,25,19045.0
volvo,gas,sedan,3012,six,173,134.0,18,23,21485.0
volvo,diesel,sedan,3217,six,145,106.0,26,27,22470.0
volvo,gas,sedan,3062,four,141,114.0,19,25,22625.0
